Countrygp,Country,CO2,GNIPCAP,Immun,LIFEXP,MALNUT,INFMORT,UND5MORT,POV,FMTED,FMPED,FMSED
2,"Gambia, The",0.206048563,320,85,54.71702576,17.20000076,92,128,,,85.462677,68.04734802
6,Georgia,1.222611308,700,73,70.31394958,,41,45,,95.43166351,100.0000992,98.58049011
5,Germany,10.22519398,25510,92,77.87561035,,4.400000095,,,,99.36764526,98.80899811
2,Ghana,0.298033357,330,84,56.72092819,,68,112,,34.24597549,93.00269318,81.45144653
5,Greece,8.220758438,11290,88,77.98780823,,5.400000095,6.699999809,,109.567421,100.2319107,106.3528214
5,Greenland,9.909750938,,,67.43219757,,,,,,,
5,Grenada,2.204181433,3650,92,72.49073029,,21,26,,,96.04894257,112.5814438
1,Guam,26.19787216,,,74.25531769,,,,,,,
3,Guatemala,0.883976698,1740,76,66.25019836,,39,53,3.470000029,,89.37578583,88.37869263
2,Guinea-Bissau,0.193173945,160,59,44.45282745,25,132,215,,18.15715408,66.92539215,54.42055511
2,Guinea,0.153355494,400,61,52.86429214,32.70000076,112,175,,,70.33004761,
3,Guyana,2.148097992,870,86,61.78248596,13.60000038,52,70,,,96.70765686,102.2387695
3,Haiti,0.18368943,490,54,50.67082977,17.20000076,81,125,,,,
3,Honduras,0.793900669,860,98,67.33522034,,33,43,,131.5234528,102.0287399,
1,"Hong Kong, China",5.293971539,26980,,80.87805176,,,,,,96.24971008,
6,Hungary,5.303144455,4600,99,71.24633789,,9.199999809,9.199999809,,122.2437897,98.4362793,100.8476334
5,Iceland,7.680057049,29960,91,78.95365906,,3,3.200000048,,165.8024902,98.18038177,106.8032913
1,India,1.140481234,450,56,62.92487717,,68,94,36.04000092,65.49147034,82.24983978,70.11965179
1,Indonesia,1.098107576,590,72,65.8421936,24.60000038,36,48,7.190000057,,96.60728455,95.00938416
4,"Iran, Islamic Rep.",5.593148232,1670,99,69.4980011,,36,44,,86.55951691,95.43482971,94.03983307
4,Iraq,,,90,,15.89999962,,,,53.74856186,81.57190704,61.20266342
5,Ireland,11.1065836,22990,77,76.43658447,,5.900000095,,,122.5175247,99.03414154,108.1123962
5,Isle of Man,,,,,,,,,,,
4,Israel,10.26898766,17090,94,78.37024689,,5.800000191,6.800000191,,142.1682129,99.08157349,100.2489548
