Serial,SPoint,StRegion,Region,Country,RSex,RAge,PeopTrst,RNSSEC,REconAct,Tea,Tea2,HEdQual,HEdQual2,HHincome,UnionSA,TUSAEver,NghBrHd,ResPres,Voted01,PdJobSC,CharOft,CharAmt,PolitSC,GovRight,GovSelf,DemoNow,GrpMemb1,GrpMemb2,GrpMemb3,GrpMemb4,GrpMemb5,IncDiffs,IncDiff,IDCards,MoreWelf,SocHelp,DeathApp,WrongLaw,PartyId2,agegp1,agegp2,incomegp,incomeg1,trust,volgp,volgp1,qual1,qual2
161392,145,9,5,1,1,51,-2,3.4,3,5,23,1,1,17,3,1,10,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,5,4,3,2,2,2,2,,-1,-1,1,1
161393,145,9,5,1,2,41,2,9.1,3,4,18,3,4,15,3,3,41,5,1,1,-2,-2,3,2,4,9,4,4,4,1,4,3,4,2,4,3,3,2,8,1,2,2,2,1,0,0,1,2
161395,145,9,5,1,2,50,-2,6,3,5,19,1,2,10,3,3,26,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,3,4,1,2,2,2,1,,-1,-1,1,1
161399,146,9,5,1,1,72,3,7.3,9,1,14,7,8,5,3,1,30,2,1,2,-2,-2,2,4,2,7,4,3,3,4,4,4,2,4,2,4,2,3,2,2,3,1,1,0,0,0,2,2
161403,146,9,5,1,1,46,-2,11.1,8,2,16,7,8,5,3,1,4,2,2,2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,2,2,8,2,2,1,1,,-1,-1,2,2
161406,146,9,5,1,1,24,-2,13.3,3,2,16,4,5,13,3,3,17,2,1,1,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,3,3,3,3,2,1,1,2,2,,-1,-1,2,2
161407,146,9,5,1,1,39,-2,9.1,10,2,16,7,8,6,3,1,4,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,3,5,1,1,1,1,,-1,-1,2,2
161410,146,9,5,1,2,39,-2,12.1,10,2,16,4,5,4,3,3,40,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,3,8,1,1,1,1,,-1,-1,2,2
161411,146,9,5,1,2,35,3,12.4,3,1,15,7,8,11,3,3,11,2,1,1,-2,-2,3,3,4,6,4,3,4,4,4,2,2,3,4,2,3,3,2,1,1,2,1,0,0,0,2,2
161412,146,9,5,1,1,39,-2,13.3,10,1,15,5,6,6,3,3,16,2,2,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,-2,2,4,1,1,5,1,1,1,1,,-1,-1,2,2
161416,146,9,5,1,1,35,-2,6,3,3,17,2,3,13,3,3,0,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,2,3,1,1,1,2,2,,-1,-1,1,1
161418,146,9,5,1,2,41,-2,-1,10,4,18,2,3,16,-1,-1,41,2,1,2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,3,2,2,3,3,1,2,2,2,,-1,-1,1,1
161419,146,9,5,1,2,60,-2,10,9,1,15,7,8,10,3,3,60,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,1,3,2,2,3,2,1,,-1,-1,2,2
161421,146,9,5,1,2,76,-2,7.1,9,1,15,7,8,5,3,1,33,2,1,2,5,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8,-2,2,2,2,3,3,2,3,1,1,,-1,-1,2,2
161422,146,9,5,1,2,55,-2,7.1,3,2,16,4,5,7,1,-3,55,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,1,5,4,8,2,2,1,1,,-1,-1,2,2
161423,146,9,5,1,2,52,2,3.3,9,2,16,2,3,13,3,2,5,2,1,2,-2,-2,2,4,4,2,4,2,2,4,4,3,5,5,4,3,3,4,1,2,2,2,2,1,0,0,1,1
161435,147,9,5,1,2,80,2,4.1,9,1,14,7,8,3,3,1,19,3,1,2,-2,-2,2,3,2,10,4,3,1,3,1,4,4,2,3,3,3,3,5,2,3,1,1,1,1,1,2,2
161442,147,9,5,1,1,28,-2,11.1,3,2,16,4,5,98,3,3,23,3,2,1,5,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,3,2,3,5,1,1,,,,-1,-1,2,2
161443,147,9,5,1,2,39,-2,12.1,3,2,16,4,5,12,3,3,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,1,3,1,1,1,2,2,,-1,-1,2,2
161445,147,9,5,1,1,86,-2,7.3,9,1,14,2,3,8,3,3,38,3,1,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8,-2,3,2,2,9,1,2,3,1,1,,-1,-1,1,1
161446,147,9,5,1,1,51,-2,4.1,3,4,18,3,4,14,3,3,20,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,1,2,1,2,2,2,2,,-1,-1,1,2
161448,147,9,5,1,1,71,-2,4.1,9,1,15,4,5,7,3,1,26,3,1,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,2,2,1,2,1,2,3,1,1,,-1,-1,2,2
161449,147,9,5,1,2,64,-2,9.1,9,1,15,7,8,9,3,1,3,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,1,3,2,2,3,2,1,,-1,-1,2,2
161450,147,9,5,1,1,43,2,4.1,3,2,16,2,3,14,3,1,15,3,2,1,-2,-2,3,2,2,3,4,3,4,4,4,1,1,1,4,2,1,4,5,1,2,2,2,1,0,0,1,1
161451,147,9,5,1,2,75,-2,12.1,9,1,14,7,8,3,3,1,54,3,1,2,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,1,1,1,4,1,2,3,1,1,,-1,-1,2,2
161455,147,9,5,1,1,41,-2,10,3,2,16,5,6,11,3,3,17,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,4,4,1,1,2,2,1,,-1,-1,2,2
161457,147,9,5,1,1,49,-2,5,5,5,22,2,3,13,3,2,10,2,1,1,6,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,3,4,1,2,2,2,2,,-1,-1,1,1
161458,148,9,5,1,1,84,-2,10,9,1,14,7,8,4,3,2,22,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,4,3,2,3,1,1,,-1,-1,2,2
161459,148,9,5,1,1,48,-1,13.3,5,1,15,7,8,2,3,1,5,4,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,2,1,1,,-1,-1,2,2
161460,148,9,5,1,1,36,-2,12.4,8,1,15,4,5,2,3,1,3,3,2,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,1,2,3,5,1,1,1,1,,-1,-1,2,2
161461,148,9,5,1,2,60,-2,9.1,9,1,15,7,8,17,3,3,23,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,5,3,1,2,3,2,2,,-1,-1,2,2
161462,148,9,5,1,2,49,-1,6,10,2,16,4,5,12,3,3,14,4,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,,-1,-1,2,2
161467,148,9,5,1,2,63,-2,12.7,3,2,16,4,5,98,3,3,23,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,2,2,2,3,,,,-1,-1,2,2
161468,148,9,5,1,2,34,2,10,3,5,19,3,4,5,3,3,34,3,2,1,-2,-2,3,3,3,8,4,4,4,3,4,2,2,3,3,3,3,3,3,1,1,1,1,1,0,0,1,2
161469,148,9,5,1,2,63,-2,8.1,9,2,16,2,3,16,3,3,3,4,1,2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,9,9,-2,4,2,1,2,1,2,3,2,2,,-1,-1,1,1
161470,148,9,5,1,2,60,-2,12.2,3,1,15,3,4,10,3,3,19,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,2,3,1,2,3,2,1,,-1,-1,1,2
161474,148,9,5,1,2,37,2,7.2,3,3,17,2,3,17,3,3,37,4,1,1,-2,-2,2,4,2,7,4,4,1,1,2,3,4,1,4,1,1,1,8,1,1,2,2,1,1,1,1,1
161477,148,9,5,1,1,63,-1,10,3,1,15,4,5,9,1,-3,30,3,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,3,2,1,,-1,-1,2,2
161478,148,9,5,1,1,45,-1,9.1,3,2,16,5,6,15,3,3,20,4,2,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,,-1,-1,2,2
161480,148,9,5,1,2,54,2,4.3,3,4,18,1,1,13,3,1,16,4,1,1,-2,-2,2,8,8,3,4,3,3,1,3,2,4,3,2,3,4,3,2,2,2,2,2,1,1,0,1,1
161482,148,9,5,1,1,33,-2,4.2,3,4,18,3,4,17,3,3,1,3,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,4,2,1,1,1,2,2,,-1,-1,1,2
161483,148,9,5,1,2,86,-1,7.1,9,4,18,4,5,97,3,3,15,4,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,,,,-1,-1,2,2
161490,149,9,5,1,2,48,-1,12.2,3,2,16,2,3,6,3,3,25,1,1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,1,,-1,-1,1,1
161493,149,9,5,1,1,29,-1,4.1,3,5,22,1,1,98,1,-3,8,3,1,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,,,,-1,-1,1,1
161494,149,9,5,1,2,21,-2,7.2,2,2,16,5,6,98,3,3,3,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,3,5,1,1,,,,-1,-1,2,2
161496,149,9,5,1,2,76,-1,13.4,9,1,14,7,8,6,3,3,76,1,1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,1,,-1,-1,2,2
161497,149,9,5,1,2,87,-1,4.1,9,1,14,7,8,97,3,3,87,1,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,3,,,,-1,-1,2,2
161503,149,9,5,1,1,32,-2,4.1,3,1,15,3,4,16,3,3,4,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,1,1,3,1,1,1,2,2,,-1,-1,1,2
161506,149,9,5,1,1,76,-2,13.3,9,1,13,7,8,2,1,-3,20,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,3,2,2,3,1,1,,-1,-1,2,2
161512,149,9,5,1,2,23,-2,4.1,3,5,21,1,2,13,3,3,5,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,3,3,1,1,1,2,2,,-1,-1,1,1
161515,149,9,5,1,1,59,-2,4.1,9,5,25,1,2,6,1,-3,34,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,8,2,2,2,2,1,1,,-1,-1,1,1
161516,149,9,5,1,1,47,3,11.2,3,1,14,5,6,5,3,1,47,3,2,1,-2,-2,2,5,5,6,4,3,3,3,4,1,1,1,3,2,1,1,2,2,2,1,1,0,0,0,2,2
161522,150,9,5,1,2,39,3,10,3,4,18,4,5,15,2,-3,5,3,1,1,-2,-2,3,4,2,98,4,4,1,4,4,8,4,3,3,2,3,3,3,1,1,2,2,0,0,0,2,2
161523,150,9,5,1,2,35,-1,12.2,3,2,16,4,5,13,3,3,16,3,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,2,2,,-1,-1,2,2
161526,150,9,5,1,1,70,-2,12.2,9,1,15,7,8,5,3,1,34,2,1,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,8,-2,2,4,2,2,2,2,3,1,1,,-1,-1,2,2
161532,150,9,5,1,1,79,-2,3.1,9,1,14,7,8,8,3,3,29,3,1,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,4,2,2,2,1,2,3,1,1,,-1,-1,2,2
161533,150,9,5,1,2,34,-2,3.1,3,4,18,1,2,17,3,3,0,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,5,2,2,1,1,2,2,,-1,-1,1,1
161534,150,9,5,1,1,45,2,4.3,3,5,22,3,4,16,2,-3,17,3,1,1,-2,-2,2,2,2,6,4,2,4,1,4,4,2,2,3,3,5,2,1,1,2,2,2,1,0,0,1,2
161537,150,9,5,1,2,54,2,7.1,3,4,18,2,3,6,3,1,54,3,1,1,-2,-2,4,5,2,8,4,3,3,3,3,2,2,2,2,4,2,4,2,2,2,1,1,1,1,0,1,1
161544,150,9,5,1,2,67,-2,12.1,9,1,15,7,8,4,3,3,37,3,1,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,-2,3,2,5,2,1,2,3,1,1,,-1,-1,2,2
161548,150,9,5,1,2,32,-2,10,7,2,16,4,5,3,3,3,9,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,4,3,3,1,1,1,1,,-1,-1,2,2
161549,150,9,5,1,2,40,3,10,3,2,16,3,4,6,3,3,12,3,2,1,-2,-2,4,3,3,6,4,4,4,4,4,1,1,1,3,1,1,3,5,1,2,1,1,0,0,0,1,2
161551,151,9,5,1,2,44,-2,6,3,3,17,4,5,8,3,3,7,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,1,9,5,1,2,1,1,,-1,-1,2,2
161552,151,9,5,1,2,22,8,12.1,3,3,17,4,5,6,2,-3,22,2,2,1,-2,-2,3,4,4,7,4,4,4,3,4,1,1,3,3,3,3,3,2,1,1,1,1,,0,0,2,2
161553,151,9,5,1,1,47,-2,4.1,3,1,15,7,8,15,3,1,30,2,1,1,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,3,3,1,4,3,2,2,2,2,,-1,-1,2,2
